stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
259,259,"Home Depot/Lowes Rt1",,40.872851,-79.952406,,,0,,0
26,26,"Whitestown Chesapeake",,40.85149,-79.913932,,,0,,0
260,260,"AHN Cancer Center",,40.850484,-79.909256,,,0,,0
261,261,"Regal at Lowes Rt5",,40.873078,-79.952384,,,0,,0
262,262,"Bartok Circle at BC3",,40.829558,-79.913128,,,0,,0
27,27,"Sharp Shopper in Point Plaza",,40.86955,-79.930319,,,0,,0
28,28,"Penndot center in Point Plaza",,40.869049,-79.929303,,,0,,0
29,29,"Cunningham and 3rd",,40.862189,-79.905586,,,0,,0
3,3,"Franklin and Brady St.",,40.863375,-79.891275,,,0,,0
39,39,"Cunningham St by former Family Video",,40.861769,-79.904538,,,0,,0
4,4,"Franklin and Penn",,40.864952,-79.891228,,,0,,0
45,45,"356 at Skate Castle",,40.868123,-79.923486,,,0,,0
46,46,"Brady and McKean St",,40.863496,-79.893463,,,0,,0
48,48,"Route 68 and Benbrook Rd by Sheetz",,40.862338,-79.967595,,,0,,0
49,49,"Benbrook Medical Center",,40.865703,-79.969134,,,0,,0
5,5,"Penn and Main St.",,40.865076,-79.895016,,,0,,0
501,501,"Pullman Square PNR at 130 Hollywood Dr.",,40.852261,-79.909594,,,0,,0
502,502,"Super 8 Route 8 SB",,40.840418,-79.918715,,,0,,0
503,503,"Mike Kelly Dealership",,40.816292,-79.9276,,,0,,0
504,504,"Glade Run Church PNR",,40.715574,-79.929023,,,0,,0
508,508,"Dinnerbell Rd Rt8",,40.7567,-79.9242,,,0,,0
509,509,"Gibsonia Rd Rt8 SB",,40.635032,-79.93978,,,0,,0
510,510,"Wildwood Rd Rt8 SB",,40.590391,-79.94843,,,0,,0
511,511,"Duncan Ave PNR NB",,40.558887,-79.959068,,,0,,0
517,517,"Edco Park Evans City",,40.769134,-80.066039,,,0,,0
518,518,"Rt 528 Park N Ride",,40.759766,-80.115454,,,0,,0
520,520,"Rt 68 at Stevenson Rd",,40.843147,-79.994338,,,0,,0
521,521,"Rt 68 at Ash Stop Rd SB",,40.786488,-80.034801,,,0,,0
524,524,"Strawberry Way/Steel Tower",,40.441422,-79.995349,,,0,,0
525,525,"East Busway Penn Station",,40.443534,-79.993252,,,0,,0
526,526,"East Busway Section D",,40.444826,-79.991077,,,0,,0
527,527,"New Castle Rd at Malwood SBDr",,40.868131,-79.923517,,,0,,0
528,528,"Rt 68 at S. Duffy",,40.867874,-79.93979,,,0,,0
529,529,"Rt68 at Stirling",,40.867275,-79.950082,,,0,,0
530,530,"S. Benbrook at Benbrook SB",,40.862348,-79.967578,,,0,,0
531,531,"Kriess at Eagle Mill Rd SB",,40.853818,-79.98095,,,0,,0
532,532,"Rt. 68 at Brandywine SB",,40.852673,-79.982916,,,0,,0
533,533,"Rt 68 at Moose Rd",,40.827508,-80.010196,,,0,,0
534,534,"Rt 68 at Constitution Ave SB",,40.818516,-80.010374,,,0,,0
535,535,"Rt 68 at Reibold Rd SB",,40.808758,-80.015007,,,0,,0
536,536,"Rt. 68 at Ash Ave SB",,40.774165,-80.054327,,,0,,0
537,537,"Jackson St. Evans City",,40.769513,-80.061423,,,0,,0
538,538,"Wildwood Rd NB",,40.590207,-79.948235,,,0,,0
539,539,"Gibsonia Rd Rt 8 NB",,40.634447,-79.939676,,,0,,0
54,54,"McKean at Cunningham Geibels",,40.859718,-79.89361,,,0,,0
540,540,"Glade Run RT8 NB",,40.715349,-79.929305,,,0,,0
541,541,"Dinnerbell Rd NB",,40.756498,-79.924032,,,0,,0
542,542,"Mike Kelly Rt8 NB",,40.816326,-79.927417,,,0,,0
543,543,"Duncan Avenue PNR SB",,40.55879,-79.95928,,,0,,0
544,544,"Malwood Dr. NB",,40.868051,-79.923618,,,0,,0
545,545,"Rt.68 @ S. Duffy NB",,40.867767,-79.93975,,,0,,0
547,547,"Rt68 Kriess NB",,40.853608,-79.981093,,,0,,0
548,548,"Rt68 at Brandywine NB",,40.852494,-79.982852,,,0,,0
549,549,"Rt68 Stevenson NB",,40.842995,-79.994527,,,0,,0
55,55,"Donut Connection Shelter",,40.855156,-79.889447,,,0,,0
