Route,Stop,Ridership,Name,Lat,Lon
5,145,194,Pillow and Cunningham,40.861364,-79.904221
5,142,24,Pillow and South 6th,40.860254,-79.908642
5,261,177,Regal at Lowes Rt5,40.873078,-79.952384
5,227,41,Renaissance Drive,40.85504,-79.911293
5,187,29,Route 68 and Eberhart,40.866541,-79.954262
5,255,336,New Castle at Wendys,40.870273,-79.929976
5,190,108,Sams Club at Moraine Point Plaza,40.876965,-79.953325
5,20,294,Sav-A-Lot in Pullman Square,40.858728,-79.908618
5,45,291,356 at Skate Castle,40.868123,-79.923486
5,226,154,Stirling Village,40.867148,-79.950159
5,257,"10,983",Terminal New Castle St.,40.861722,-79.896562
5,1,"1,339",Terrace Apartments,40.860586,-79.892732
5,254,50,Thompson Greene Apts.,40.881942,-79.940918
5,253,"2,108",VA Heath Care Ctr Duffy Rd.,40.888601,-79.943687
5,196,"8,853",Walmart in Butler Commons,40.87738,-79.942871
5,115,31,Washington and Jefferson St by PARC,40.861136,-79.897017
5,85,444,Wayne at Ford Lot and Post Office,40.856984,-79.895081
5,120,0,Wayne and Washington St,40.857161,-79.897051
5,22,338,Whitestown at Chesapeake Rt5,40.85139,-79.913953
5,164,68,Whitestown and Young,40.859857,-79.932591
5,18,439,Woody Drive Shelter,40.854701,-79.908605
